prop_to_talk,average_points_TFT,average_points_TFT95
0.901,1.285,1.298
0.902,1.276,1.294
0.903,1.283,1.298
0.904,1.272,1.282
0.905,1.278,1.26
0.906,1.274,1.3
0.907,1.267,1.274
0.908,1.265,1.269
0.909,1.256,1.275
0.91,1.261,1.262
0.911,1.252,1.264
0.912,1.256,1.26
0.913,1.25,1.264
0.914,1.252,1.262
0.915,1.246,1.261
0.916,1.239,1.239
0.917,1.242,1.249
0.918,1.239,1.244
0.919,1.238,1.238
0.92,1.231,1.24
0.921,1.23,1.245
0.922,1.222,1.231
0.923,1.224,1.235
0.924,1.213,1.216
0.925,1.212,1.226
0.926,1.209,1.201
0.927,1.206,1.232
0.928,1.208,1.213
0.929,1.2,1.203
0.93,1.207,1.209
0.931,1.196,1.197
0.932,1.2,1.211
0.933,1.198,1.189
0.934,1.186,1.199
0.935,1.19,1.211
0.936,1.187,1.19
0.937,1.188,1.187
0.938,1.176,1.185
0.939,1.178,1.171
0.94,1.178,1.181
0.941,1.176,1.191
0.942,1.166,1.168
0.943,1.165,1.166
0.944,1.16,1.169
0.945,1.158,1.16
0.946,1.156,1.163
0.947,1.151,1.156
0.948,1.148,1.161
0.949,1.148,1.148
0.95,1.143,1.145
0.951,1.143,1.154
0.952,1.139,1.147
0.953,1.142,1.138
0.954,1.135,1.139
0.955,1.129,1.137
0.956,1.127,1.127
0.957,1.124,1.133
0.958,1.126,1.122
0.959,1.12,1.117
0.96,1.115,1.123
0.961,1.114,1.12
0.962,1.11,1.113
0.963,1.11,1.12
0.964,1.109,1.117
0.965,1.105,1.105
0.966,1.095,1.104
0.967,1.096,1.097
0.968,1.094,1.089
0.969,1.091,1.096
0.97,1.093,1.102
0.971,1.084,1.089
0.972,1.083,1.08
0.973,1.083,1.081
0.974,1.078,1.082
0.975,1.074,1.078
0.976,1.069,1.073
0.977,1.066,1.067
0.978,1.066,1.061
0.979,1.061,1.06
0.98,1.061,1.055
0.981,1.056,1.053
0.982,1.051,1.057
0.983,1.051,1.055
0.984,1.047,1.053
0.985,1.045,1.042
0.986,1.04,1.04
0.987,1.039,1.039
0.988,1.035,1.032
0.989,1.031,1.029
0.99,1.031,1.032
0.991,1.027,1.026
0.992,1.023,1.024
0.993,1.022,1.022
0.994,1.016,1.019
0.995,1.014,1.015
0.996,1.012,1.013
0.997,1.008,1.008
0.998,1.006,1.005
0.999,1.003,1.004
